x	y
66	531
88	485
129	691
113	720
250	660
45	448
81	436
38	331
26	318
21	312
72	303
79	316
87	329
96	317
223	487
223	471
217	457
232	460
240	461
256	463
272	467
262	478
274	478
276	491
289	496
312	515
304	469
262	421
220	423
234	402
240	384
250	350
262	305
235	297
241	249
231	219
219	208
313	124
319	113
321	105
351	116
317	41
332	37
335	57
343	54
371	468
384	470
401	450
405	421
418	426
429	397
431	371
438	354
419	353
425	332
408	326
325	352
340	344
344	337
370	326
380	312
382	296
408	306
435	314
450	318
446	324
442	334
442	343
446	374
462	383
449	358
454	362
460	366
469	367
460	349
470	353
477	346
461	337
484	330
488	313
484	303
459	304
466	300
482	291
500	281
489	271
511	271
515	285
540	257
533	298
528	312
516	313
534	314
539	310
548	309
351	185
356	172
363	181
368	174
365	191
377	196
380	204
386	207
393	188
393	202
400	197
410	191
422	188
432	182
431	207
415	218
413	209
397	214
386	220
392	225
402	222
406	239
422	225
432	235
431	223
442	220
451	225
404	273
416	257
425	252
434	248
443	246
453	239
462	234
467	230
479	226
432	278
442	272
450	268
449	279
455	263
459	268
465	264
475	260
481	254
491	247
500	240
510	235
518	229
485	215
476	212
488	203
530	224
537	219
552	215
580	216
556	207
506	217
506	207
517	214
514	199
526	204
539	197
553	193
566	187
575	186
565	180
580	179
587	176
594	176
603	171
525	166
540	162
557	162
573	160
593	155
605	146
627	137
636	131
643	127
652	121
671	79
673	99
785	34
792	15
617	166
620	174
628	172
627	163
635	170
637	158
644	162
647	167
644	154
651	158
657	155
667	150
663	151
652	146
658	143
667	138
680	139
692	134
695	130
703	132
716	127
722	120
730	118
743	115
660	120
666	118
676	119
672	112
686	106
684	113
696	109
714	103
698	101
719	81
741	84
722	102
743	99
756	99
760	83
802	105
789	103
823	103
828	93
816	91
801	98
793	85
817	81
869	14
863	38
875	39
867	58
863	70
896	58
907	63
891	69
905	73
899	81
889	81
918	87
882	98
893	109
893	117
865	117
873	117
879	117
886	117
900	124
907	123
917	124
910	138
980	128
917	175
904	148
891	168
874	164
857	159
863	149
855	143
870	128
890	131
846	177
847	207
894	216
794	127
783	131
790	138
798	139
802	132
805	146
807	138
812	134
816	143
784	153
