x	y
93	898
105	879
143	908
187	905
293	865
230	822
128	810
195	755
209	747
182	729
124	703
165	680
139	626
188	652
196	708
216	694
231	714
267	744
396	872
240	704
252	694
228	681
244	665
254	679
260	684
269	677
257	654
267	638
277	630
288	619
303	641
323	629
344	621
352	603
339	577
334	588
314	546
324	532
344	563
352	556
372	534
381	539
404	551
417	581
418	571
429	625
485	695
491	632
496	601
626	898
171	564
120	549
186	450
160	406
165	394
266	431
166	331
172	317
310	364
340	365
352	359
392	354
393	521
432	495
445	517
474	507
455	482
523	485
511	471
493	448
483	438
473	395
439	410
428	436
483	378
479	362
466	331
465	316
460	301
460	292
460	278
458	270
453	255
422	245
338	251
396	154
437	203
439	209
444	223
446	232
453	241
487	327
529	344
585	502
635	474
662	460
733	457
750	444
697	530
711	516
707	563
710	549
718	544
726	540
738	556
739	608
746	620
758	621
807	614
802	597
815	593
784	568
768	556
776	552
784	548
751	535
757	527
780	511
800	509
812	504
822	498
832	494
810	531
823	525
826	521
833	517
838	514
842	511
851	506
858	503
868	497
873	496
886	492
871	476
861	448
553	393
563	329
553	309
544	320
557	288
565	271
538	259
553	221
555	214
561	207
565	203
565	198
567	191
579	229
579	219
570	215
580	208
589	216
589	226
599	228
609	235
608	228
592	208
595	202
609	211
610	202
621	204
625	195
628	184
605	183
591	180
551	194
543	188
533	188
517	200
522	186
514	192
506	191
500	187
491	187
486	187
480	184
475	184
465	181
442	156
464	159
463	126
438	126
486	128
480	163
493	160
511	159
520	159
542	159
551	157
567	157
580	143
535	111
540	98
543	81
548	66
553	57
512	37
461	28
603	100
577	87
599	51
559	18
613	25
625	38
655	114
640	158
700	127
742	143
748	129
790	148
834	149
818	163
817	178
856	192
864	174
868	157
597	383
598	373
604	373
611	383
617	389
634	387
644	394
620	436
670	403
683	400
741	401
682	379
650	376
658	388
664	372
650	364
662	362
680	366
686	359
701	361
670	352
653	350
637	350
634	355
631	362
623	357
614	356
605	354
594	350
594	345
599	329
602	317
609	315
612	304
624	310
634	313
628	318
623	314
620	320
625	324
648	322
642	330
637	326
660	325
677	329
670	338
711	352
724	356
736	358
753	368
777	378
804	386
826	379
887	427
911	474
916	459
940	473
969	464
957	454
939	440
928	433
1024	498
1012	485
986	547
965	549
968	502
999	475
823	641
841	622
848	636
916	646
918	683
916	732
945	729
949	748
954	757
949	790
865	882
865	894
905	898
918	879
979	896
840	598
847	593
855	590
869	587
880	581
889	578
892	575
901	571
911	570
912	592
875	611
863	614
857	617
834	587
847	580
860	570
863	566
873	564
883	558
896	553
902	551
915	549
838	560
848	555
854	552
859	549
867	546
877	541
884	539
895	533
904	530
1085	468
1130	504
1162	501
1144	448
1190	417
1190	398
1386	399
1446	456
1591	589
1353	579
1342	579
1289	555
1279	556
1220	580
1215	577
1205	574
1179	565
1191	570
1318	171
1228	138
1235	115
1357	211
1388	158
1434	148
1487	123
1499	125
1570	177
997	427
987	420
976	419
964	407
953	403
1001	375
988	383
982	301
1014	301
834	359
823	355
811	355
801	349
790	349
785	340
781	347
771	345
773	335
766	335
740	320
728	316
728	324
710	324
718	313
714	315
700	323
688	319
671	316
664	311
655	309
644	306
634	299
614	292
620	285
632	292
644	296
654	301
666	305
673	307
669	301
678	302
687	306
694	307
701	310
707	302
695	302
688	296
677	292
635	243
641	245
650	252
660	258
673	261
677	256
665	249
649	238
642	236
646	225
653	225
655	218
645	215
662	231
664	224
667	219
672	210
679	204
682	214
687	223
684	237
675	231
653	204
662	207
666	198
660	193
658	198
689	260
699	264
697	277
714	279
729	285
743	285
743	295
758	297
768	305
775	306
782	308
792	317
799	296
804	287
823	297
815	307
811	318
823	328
836	331
839	322
829	322
827	311
836	315
840	307
833	306
835	298
848	285
834	280
832	276
819	272
811	269
802	263
789	257
778	254
763	247
737	240
749	235
727	224
719	224
712	221
707	216
700	211
749	197
766	215
771	196
793	225
836	244
840	226
867	344
875	353
887	356
854	343
859	325
861	317
863	302
879	298
893	325
889	290
898	281
874	269
879	256
893	221
896	194
898	176
928	100
954	134
960	113
973	126
996	139
1013	124
1004	123
1015	139
1037	139
1034	153
1047	160
1004	163
1020	221
1025	247
977	278
952	253
909	249
912	238
916	229
920	221
948	219
944	225
928	210
928	217
959	211
947	209
937	202
939	173
975	189
956	191
1277	54
1283	49
