x	y
574	1014
274	960
279	786
278	775
269	775
241	767
117	487
142	498
140	426
75	290
231	273
273	310
279	316
288	308
306	308
293	276
319	273
329	273
333	284
338	292
338	301
349	280
355	289
361	285
366	291
375	275
390	282
383	289
347	236
367	244
385	247
391	255
399	265
409	280
374	299
367	305
362	309
350	302
355	320
344	320
345	329
350	331
342	335
338	341
321	330
302	330
271	339
280	342
287	342
293	344
304	347
311	343
319	340
172	529
188	525
197	519
202	515
209	506
216	490
218	484
222	480
213	476
224	471
223	465
210	456
213	448
218	443
219	455
227	451
235	448
241	444
247	439
255	441
246	448
240	425
251	417
250	401
259	423
263	435
267	429
282	440
269	420
277	415
286	412
281	427
291	433
297	425
274	404
287	396
284	380
294	384
284	365
280	357
303	365
313	370
317	366
303	415
303	409
310	417
318	417
330	420
329	413
326	407
320	407
312	409
313	402
318	390
323	389
332	389
340	381
330	379
324	364
329	357
334	355
340	354
341	369
343	374
351	367
351	349
361	358
355	345
361	345
367	341
369	328
380	330
389	332
379	355
389	349
389	315
383	319
372	317
372	311
377	306
382	299
399	298
402	306
402	314
405	319
407	327
420	319
420	311
417	304
428	308
433	326
405	335
405	341
404	348
402	354
400	360
397	368
340	402
350	406
345	390
357	393
359	387
365	376
372	367
362	415
366	408
379	411
372	402
384	396
389	387
389	378
396	383
421	343
417	356
436	351
426	355
427	363
427	371
440	363
413	375
421	379
419	385
412	382
409	387
417	391
403	394
401	403
397	414
411	404
420	407
421	414
412	417
442	412
473	421
496	418
482	405
464	408
432	392
433	381
438	383
438	390
445	390
444	383
451	384
449	392
458	392
464	384
449	371
455	373
461	373
467	373
483	373
476	383
488	383
502	393
511	404
522	408
469	357
477	359
492	363
502	368
512	382
499	350
536	384
572	392
544	348
544	348
564	355
489	122
498	125
518	130
532	131
542	148
611	129
670	91
684	95
724	80
768	75
878	70
1175	58
1175	77
1177	97
1194	289
1155	38
761	121
783	96
789	137
794	182
763	198
569	170
578	180
587	193
597	204
607	218
618	229
625	407
607	394
624	348
784	427
831	411
846	411
870	417
877	425
878	348
891	280
927	320
963	308
862	542
630	464
615	462
605	474
617	480
624	485
633	495
641	494
652	498
666	500
534	419
665	547
680	529
688	525
721	509
236	472
244	471
250	471
235	460
242	460
251	460
264	459
276	458
282	460
290	460
298	460
307	469
308	461
330	475
331	464
311	433
335	450
356	473
381	491
377	438
399	434
419	435
376	462
381	456
384	470
396	464
389	455
395	448
399	455
403	459
397	475
403	479
408	474
413	467
415	454
422	458
428	466
421	447
426	443
434	435
426	431
437	431
445	432
478	439
466	440
459	443
454	450
450	452
446	446
442	449
435	452
440	457
432	455
416	489
428	482
435	476
439	472
445	470
448	469
453	466
458	464
464	462
468	459
473	456
482	467
487	476
496	465
502	460
505	459
516	456
504	443
546	476
555	481
566	493
573	501
584	499
591	497
596	495
607	492
611	498
616	498
622	503
627	505
630	508
640	511
652	539
647	536
642	535
638	533
632	529
625	525
616	521
598	515
592	517
580	519
571	523
555	529
578	540
607	551
611	541
625	548
624	571
514	473
520	473
529	482
521	484
513	485
507	486
527	496
530	509
539	500
547	509
525	528
519	522
509	512
495	524
504	536
487	532
479	538
494	548
488	549
214	524
221	516
229	510
228	534
216	540
248	533
258	535
237	495
243	499
251	499
258	497
264	507
272	518
272	512
272	506
276	496
292	488
299	488
303	490
315	490
320	498
312	505
306	504
297	497
295	501
291	512
302	518
294	518
291	523
306	531
290	525
290	533
288	538
297	538
287	555
267	553
307	590
309	583
309	577
309	573
309	565
319	566
319	578
319	581
317	595
314	552
316	541
318	534
322	523
324	513
332	528
338	528
335	536
331	542
329	546
327	555
336	548
340	564
343	557
346	538
357	547
361	538
365	535
370	531
376	524
395	530
387	537
380	542
373	550
369	558
361	564
359	570
355	573
352	576
347	582
360	591
377	599
386	588
383	577
395	562
395	551
405	534
405	520
406	540
415	536
427	544
420	544
413	548
410	566
417	564
423	560
431	559
439	554
435	528
441	533
444	540
454	541
461	552
469	552
476	562
479	570
485	563
489	568
485	575
445	519
450	519
462	513
469	523
480	517
471	511
476	506
479	504
494	508
486	499
491	490
496	496
707	484
369	788
369	815
394	758
398	844
408	846
401	834
519	961
506	949
495	951
491	937
501	920
492	905
456	876
434	872
502	880
471	837
463	826
427	820
413	806
424	806
428	790
498	774
470	802
570	792
610	867
651	801
652	780
618	773
593	789
578	750
597	735
593	725
608	721
565	737
537	743
548	730
565	723
601	695
567	699
557	704
548	709
540	717
533	721
514	709
452	644
461	662
403	586
404	594
408	601
428	604
416	619
426	619
419	596
413	584
417	580
431	588
425	579
429	577
434	576
439	572
448	569
442	580
446	586
446	596
455	595
466	590
454	582
459	576
470	579
467	572
509	563
514	561
528	563
539	564
539	558
525	550
534	542
543	537
543	546
561	551
560	561
553	557
572	562
572	552
583	552
583	564
585	585
573	583
560	581
532	586
513	582
502	577
472	647
471	637
476	637
487	634
481	634
494	631
476	627
480	625
486	624
491	623
500	621
507	621
519	614
511	611
507	606
503	605
496	598
500	593
493	593
482	590
485	597
490	605
481	601
473	602
466	604
458	606
444	616
453	616
460	616
467	616
478	614
559	609
533	627
544	631
539	636
546	643
552	636
569	635
563	652
550	669
542	662
528	652
521	642
512	644
512	652
504	658
494	662
484	662
488	650
493	656
497	644
520	667
516	675
515	683
543	689
529	685
582	673
587	659
591	653
595	647
597	642
601	633
632	606
624	639
617	648
613	655
608	664
