x	y
56	486
77	489
105	488
77	326
79	227
106	211
59	160
249	337
261	340
273	322
295	348
311	349
339	351
327	352
362	348
478	581
369	572
395	570
395	539
380	545
348	554
480	488
499	495
501	486
500	554
508	549
520	549
534	544
577	529
568	517
577	537
490	451
411	396
475	418
459	373
470	374
487	373
487	384
500	376
509	378
503	386
519	381
530	384
436	374
429	398
428	368
450	339
470	344
480	315
497	298
515	325
497	344
506	348
486	341
525	354
536	359
557	366
566	369
580	374
561	404
567	421
540	419
575	437
588	472
616	496
621	509
611	530
647	526
625	557
617	569
648	589
663	559
683	553
696	551
707	550
709	611
743	612
713	620
759	579
770	578
786	602
803	636
837	665
851	661
823	628
859	637
884	616
884	592
820	573
793	570
863	577
873	576
918	586
902	596
912	577
890	561
898	562
889	550
881	543
865	548
866	560
846	567
843	555
811	553
829	522
816	522
809	522
802	524
790	529
782	533
778	534
770	540
756	542
745	544
703	505
712	517
717	523
730	530
747	533
745	497
729	508
765	499
758	483
736	474
676	479
667	481
674	496
608	465
617	462
627	462
642	464
675	464
684	463
687	444
599	442
606	450
620	448
635	447
624	429
631	430
647	432
605	429
595	429
583	397
593	401
604	412
612	412
626	417
602	384
594	382
624	397
534	334
541	338
551	342
546	306
545	292
574	341
585	358
598	358
663	413
676	413
684	413
697	413
703	413
758	419
748	419
740	419
719	418
728	418
770	418
779	418
791	421
801	422
810	422
827	427
828	502
828	493
795	502
790	480
803	478
823	475
817	496
837	432
847	435
817	400
795	400
794	392
787	405
797	405
769	394
762	395
750	397
739	397
728	396
717	396
700	393
680	395
658	393
712	379
680	378
669	378
695	363
710	363
731	357
750	353
785	368
793	346
841	386
866	435
873	435
886	437
892	437
917	437
923	437
934	438
946	440
963	440
976	436
1002	427
862	424
869	424
885	426
874	426
897	422
906	423
919	423
930	421
929	402
898	407
898	391
879	396
865	396
865	411
876	411
874	384
893	369
899	369
904	349
892	354
890	327
893	312
784	311
765	307
733	298
707	289
598	244
608	246
616	204
739	214
1113	172
934	107
393	53
1399	342
1503	383
1603	358
1603	599
1594	859
1475	777
1411	719
1421	773
1359	763
1419	489
1400	485
1365	482
1367	497
1353	475
1358	395
1326	385
1323	345
1356	323
1302	477
1249	466
1203	479
1166	419
847	520
864	520
876	524
852	500
861	503
868	504
875	504
882	505
914	545
907	536
907	531
924	521
914	507
950	506
905	507
894	508
896	493
896	482
897	465
906	467
925	467
935	468
956	470
954	490
939	493
909	481
908	492
881	480
871	461
879	461
794	446
781	446
770	447
730	441
720	441
707	443
701	443
846	353
872	368
863	366
1030	304
1165	448
1156	458
1128	454
987	469
1002	466
1007	461
1017	459
1025	456
1089	438
1100	439
1103	449
1111	442
1119	451
1135	443
1151	456
1146	445
1565	853
1260	654
470	451
